idu,nom_com,code_dep,section,numero,area_m2,built_m2,built_pct,zone_name
78291000BB0041,Guerville,78,BB,0041,21560.0,0.0,0.0,Duthoit
782380000A0413,Flins-sur-Seine,78,0A,0413,28054.0,0.0,0.0,Usine Renault Pierre Lefaucheux
784900000P0368,Plaisir,78,0P,0368,24890.0,0.0,0.0,
782690000D0428,Gazeran,78,0D,0428,22717.0,0.0,0.0,Parc d'activités Bel Air - La Forêt
78310000ZH0430,Houdan,78,ZH,0430,20564.0,0.0,0.0,Zone d'Activité Commerciale la Prévoté
78440000AX0434,Les Mureaux,78,AX,0434,25126.0,0.0,0.0,
91086000AM0202,Bondoufle,91,AM,0202,24933.0,0.0,0.0,ZI La Marinière
78621000AM0045,Trappes,78,AM,0045,22049.0,0.0,0.0,Parc d'activités de Trappes–Élancourt
78356000AX0045,Magny-les-Hameaux,78,AX,0045,25501.0,0.0,0.0,Parc d'Activité de Gomberville
785580000E0457,Saint-Illiers-la-Ville,78,0E,0457,21093.0,0.0,0.0,
78490000BT0047,Plaisir,78,BT,0047,26724.0,0.0,0.0,
785670000A4791,Saint-Martin-la-Garenne,78,0A,4791,28900.0,0.0,0.0,
78440000AB0048,Les Mureaux,78,AB,0048,20000.0,0.0,0.0,
78335000BH0048,Limay,78,BH,0048,25000.0,0.0,0.0,Zone industrielle Limay Porcheville
785580000B0005,Saint-Illiers-la-Ville,78,0B,0005,28330.0,0.0,0.0,
786200000A0032,Toussus-le-Noble,78,0A,0032,22200.0,0.0,0.0,
77305000AM0383,Montereau-Fault-Yonne,77,AM,0383,24806.0,0.0,0.0,Parc d'entreprises du Confluent
78310000ZH0269,Houdan,78,ZH,0269,26599.0,0.0,0.0,Zone d'Activité Commerciale la Prévoté
78146000AM0027,Chatou,78,AM,0027,22889.0,0.0,0.0,
78490000BV0027,Plaisir,78,BV,0027,22051.0,0.0,0.0,
78440000AB0028,Les Mureaux,78,AB,0028,26267.0,0.0,0.0,
